layout,averages,bests
minimaxClassic,790.9166666666666,975.8
minimaxClassic,788.88,975.6666666666666
minimaxClassic,792.0899999999999,1044.0
minimaxClassic,809.0066666666667,976.1333333333333
minimaxClassic,775.6366666666667,1245.4
minimaxClassic,759.0,910.0
minimaxClassic,788.8133333333333,1109.3333333333333
minimaxClassic,765.0733333333334,975.8
minimaxClassic,795.4033333333333,1108.3333333333333
minimaxClassic,735.1733333333333,975.4
minimaxClassic,839.3833333333333,1110.0666666666666
minimaxClassic,778.7733333333333,976.7333333333333
minimaxClassic,748.8166666666666,908.2666666666667
minimaxClassic,795.52,909.2
minimaxClassic,785.5133333333333,976.0
minimaxClassic,775.5,976.9333333333333
minimaxClassic,761.7766666666666,907.9333333333334
minimaxClassic,795.66,1176.6666666666667
minimaxClassic,761.7833333333333,975.5333333333333
minimaxClassic,782.2633333333333,976.4
capsuleClassic,518.975,673.75
capsuleClassic,534.15,613.0
capsuleClassic,585.575,671.75
capsuleClassic,582.2625,707.25
capsuleClassic,594.4,780.25
capsuleClassic,597.2875,692.0
capsuleClassic,577.4625,682.5
capsuleClassic,565.275,718.25
capsuleClassic,593.875,725.5
capsuleClassic,604.65,735.5
capsuleClassic,594.575,759.0
capsuleClassic,588.0625,690.25
capsuleClassic,595.6625,723.25
capsuleClassic,578.3,746.5
capsuleClassic,595.95,672.25
capsuleClassic,594.8625,908.0
capsuleClassic,596.825,703.75
capsuleClassic,578.325,696.25
capsuleClassic,609.5875,732.25
capsuleClassic,595.275,747.25
mediumClassic,589.975,861.0
mediumClassic,707.475,1149.5
mediumClassic,625.525,847.5
mediumClassic,655.825,850.5
mediumClassic,637.975,781.5
mediumClassic,633.125,868.5
mediumClassic,614.925,717.0
mediumClassic,628.175,832.0
mediumClassic,615.075,852.5
mediumClassic,621.625,750.0
mediumClassic,647.55,810.0
mediumClassic,614.875,811.0
mediumClassic,627.425,788.0
mediumClassic,632.975,950.0
mediumClassic,662.925,912.5
mediumClassic,651.1,791.0
mediumClassic,616.8,739.0
mediumClassic,649.05,881.5
mediumClassic,671.375,951.5
mediumClassic,665.725,841.5
originalClassic,406.975,730.0
originalClassic,518.45,699.5
originalClassic,496.85,662.5
originalClassic,512.875,624.0
originalClassic,532.2,754.0
originalClassic,445.5,634.0
originalClassic,519.225,730.5
originalClassic,550.65,1038.0
originalClassic,532.9,700.0
originalClassic,544.125,752.0
originalClassic,579.375,724.5
originalClassic,530.875,750.5
originalClassic,507.625,660.0
originalClassic,535.95,635.5
originalClassic,559.175,847.5
originalClassic,546.925,625.0
originalClassic,578.65,639.0
originalClassic,494.75,676.5
originalClassic,582.05,704.5
originalClassic,488.825,676.0
smallClassic,502.85,555.0
smallClassic,554.05,639.5
smallClassic,570.025,608.5
smallClassic,576.15,619.0
smallClassic,577.875,632.0
smallClassic,581.925,638.5
smallClassic,585.4,639.0
smallClassic,577.05,600.0
smallClassic,588.825,648.0
smallClassic,587.775,620.5
smallClassic,591.05,637.5
smallClassic,601.25,664.0
smallClassic,603.75,664.5
smallClassic,607.375,665.0
smallClassic,596.35,643.0
smallClassic,606.075,646.5
smallClassic,616.4,742.0
smallClassic,594.675,675.5
smallClassic,600.45,727.0
smallClassic,576.725,649.0
